DRUG,atc4
epinephrine hcl,R03AA
epinephrine,R03AA
epinephrine 1:1000,R03AA
epi,R03AA
epinephrine base,R03AA
epinephrine hcl,S01EA
epinephrine,S01EA
epinephrine 1:1000,S01EA
epi,S01EA
epinephrine base,S01EA
calcium chloride,A12AA
calcium,A12AA
calcium chloride,B05XA
calcium,B05XA
calcium chloride,G04BA
calcium,G04BA
ceftazidime,J01DD
aminophylline,R03DA
plasmanate,C03CA
levalbuterol (xopenex),C03CA
caduet 5-80,C03CA
thalidomide,C03CA
flutamide,C03CA
acetic acid 0.25% irrig. soln,G01AD
acetic acid 0.04% soln,G01AD
acetic acid 0.25% irrig. soln,S02AA
acetic acid 0.04% soln,S02AA
sodium bicarbonate 4.2% (2.4meq),B05CB
sodium bicarbonate 4.2% (2.4meq),B05XA
sodium bicar,B05CB
sodium bicarb,B05CB
sodium bic,B05CB
sodium bica,B05CB
sodiu,B05CB
sodium,B05CB
sodium bi,B05CB
sodium b,B05CB
sodium bicarbo,B05CB
sodium bicar,B05XA
sodium bicarb,B05XA
sodium bic,B05XA
sodium bica,B05XA
sodiu,B05XA
sodium,B05XA
sodium bi,B05XA
sodium b,B05XA
sodium bicarbo,B05XA
succinylcholine,M03AB
azilect,B05CB
sod,B05CB
azilect,B05XA
sod,B05XA
morphine sulfate,A12BA
acetaminophen (rectal),A12BA
morphine sulfate,B05XA
avodart  0.5mg,A12BA
ertapenem,A12BA
avodart  0.5mg,B05XA
ertapenem,B05XA
etomidate,N01AX
magnesium sulfate,A06AD
sterile water,A06AD
magnesium sulfate (ob),A06AD
magnesium sulfate,A12CC
sterile water,A12CC
magnesium sulfate (ob),A12CC
sterile water,B05XA
magnesium sulfate (ob),B05XA
magnesium sulfate,D11AX
sterile water,D11AX
magnesium sulfate (ob),D11AX
magnesium sulfate,V04CC
sterile water,V04CC
magnesium sulfate (ob),V04CC
magnesium sulfate replacement (oncology),A06AD
medium chain triglycerides,A06AD
magnesium sulfate (latex free),A06AD
insulin detemir,A06AD
magnesium ,A06AD
magnesium,A06AD
ipratropium bromide,A06AD
diazepam,A06AD
atropine sulfate,A06AD
potassium chloride,A06AD
propofol,A06AD
lotemax,A06AD
avodart (dutasteride),A06AD
budesonide (nasal),A06AD
byetta,A06AD
insulin pump,A06AD
insulin pump (self administering medication),A06AD
norepinephrine,A06AD
phenylephrine,A06AD
potassium chloride replacement (oncology),A06AD
calcium gluconate,A06AD
desvenlafaxine,A06AD
sodium chloride,A06AD
lorazepam,A06AD
latuda,A06AD
fentanyl citrate,A06AD
nature-throid,A06AD
menthol (icy hot patch),A06AD
roflumilast,A06AD
aripiprazole,A06AD
cefadroxil,A06AD
benazepril-hydrochlorothiazide,A06AD
exelon,A06AD
nexium,A06AD
alphagan p,A06AD
symbicort,A06AD
magnesium sulfate replacement (oncology),A12CC
medium chain triglycerides,A12CC
magnesium sulfate (latex free),A12CC
insulin detemir,A12CC
magnesium ,A12CC
magnesium,A12CC
ipratropium bromide,A12CC
diazepam,A12CC
atropine sulfate,A12CC
potassium chloride,A12CC
propofol,A12CC
lotemax,A12CC
avodart (dutasteride),A12CC
budesonide (nasal),A12CC
byetta,A12CC
insulin pump,A12CC
insulin pump (self administering medication),A12CC
norepinephrine,A12CC
phenylephrine,A12CC
potassium chloride replacement (oncology),A12CC
calcium gluconate,A12CC
desvenlafaxine,A12CC
sodium chloride,A12CC
lorazepam,A12CC
latuda,A12CC
fentanyl citrate,A12CC
nature-throid,A12CC
menthol (icy hot patch),A12CC
roflumilast,A12CC
aripiprazole,A12CC
cefadroxil,A12CC
benazepril-hydrochlorothiazide,A12CC
exelon,A12CC
nexium,A12CC
alphagan p,A12CC
symbicort,A12CC
magnesium sulfate replacement (oncology),B05XA
medium chain triglycerides,B05XA
magnesium sulfate (latex free),B05XA
insulin detemir,B05XA
magnesium ,B05XA
magnesium,B05XA
ipratropium bromide,B05XA
lotemax,B05XA
avodart (dutasteride),B05XA
budesonide (nasal),B05XA
desvenlafaxine,B05XA
sodium chloride,B05XA
latuda,B05XA
nature-throid,B05XA
menthol (icy hot patch),B05XA
roflumilast,B05XA
aripiprazole,B05XA
cefadroxil,B05XA
benazepril-hydrochlorothiazide,B05XA
exelon,B05XA
alphagan p,B05XA
symbicort,B05XA
magnesium sulfate replacement (oncology),D11AX
medium chain triglycerides,D11AX
magnesium sulfate (latex free),D11AX
insulin detemir,D11AX
magnesium ,D11AX
magnesium,D11AX
ipratropium bromide,D11AX
diazepam,D11AX
atropine sulfate,D11AX
potassium chloride,D11AX
propofol,D11AX
lotemax,D11AX
avodart (dutasteride),D11AX
budesonide (nasal),D11AX
byetta,D11AX
insulin pump,D11AX
insulin pump (self administering medication),D11AX
norepinephrine,D11AX
phenylephrine,D11AX
potassium chloride replacement (oncology),D11AX
calcium gluconate,D11AX
desvenlafaxine,D11AX
sodium chloride,D11AX
latuda,D11AX
fentanyl citrate,D11AX
nature-throid,D11AX
menthol (icy hot patch),D11AX
roflumilast,D11AX
aripiprazole,D11AX
cefadroxil,D11AX
benazepril-hydrochlorothiazide,D11AX
exelon,D11AX
nexium,D11AX
symbicort,D11AX
magnesium sulfate replacement (oncology),V04CC
medium chain triglycerides,V04CC
magnesium sulfate (latex free),V04CC
insulin detemir,V04CC
magnesium ,V04CC
magnesium,V04CC
ipratropium bromide,V04CC
diazepam,V04CC
atropine sulfate,V04CC
potassium chloride,V04CC
propofol,V04CC
lotemax,V04CC
avodart (dutasteride),V04CC
budesonide (nasal),V04CC
byetta,V04CC
insulin pump,V04CC
insulin pump (self administering medication),V04CC
norepinephrine,V04CC
phenylephrine,V04CC
potassium chloride replacement (oncology),V04CC
calcium gluconate,V04CC
desvenlafaxine,V04CC
sodium chloride,V04CC
lorazepam,V04CC
latuda,V04CC
fentanyl citrate,V04CC
nature-throid,V04CC
menthol (icy hot patch),V04CC
roflumilast,V04CC
aripiprazole,V04CC
cefadroxil,V04CC
benazepril-hydrochlorothiazide,V04CC
exelon,V04CC
nexium,V04CC
alphagan p,V04CC
symbicort,V04CC
levemir,A01AB
levemir,D06BX
levemir,G01AF
levemir,J01XD
levemir,P01AB
d5w (glass bottle),B05CX
intralipid 10%,B05CX
hydrocortisone na succ.,B05CX
syringe,B05CX
linezolid,B05CX
revatio,B05CX
byetta (exenatide),B05CX
sevelamer carbonate,B05CX
alphagan p,B05CX
d5w (glass bottle),V04CA
intralipid 10%,V04CA
hydrocortisone na succ.,V04CA
syringe,V04CA
linezolid,V04CA
revatio,V04CA
byetta (exenatide),V04CA
sevelamer carbonate,V04CA
alphagan p,V04CA
d5w (glass bottle),V06DC
intralipid 10%,V06DC
hydrocortisone na succ.,V06DC
syringe,V06DC
linezolid,V06DC
revatio,V06DC
byetta (exenatide),V06DC
sevelamer carbonate,V06DC
alphagan p,V06DC
fentanyl citrate,N01AH
fentanyl citrate,N02AB
neo*sc*phytonadione,B02BA
phytonadione,B02BA
d5w,B02BA
nitroprusside sodium,B02BA
phenylephrine hcl,B02BA
sw,B02BA
ns,B02BA
phyto,B02BA
phyton,B02BA
dakins 1/2 strength,D08AX
dakins,D08AX
dakins 1/4 strength,D08AX
dakins full strength,D08AX
dakins 1/8 strength,D08AX
liotrix-1,H03AA
ceftaroline,J01DI
*nf* ceftaroline,J01DI
escitalopram oxalate,N06AB
lexapro,N06AB
lexipro,N06AB
chantix,N06AB
namenda,N06DX
memantine,N06DX
memantine hcl,N06DX
zymar,N06DX
acular,N06DX
exelon transdermal patch,N06DX
citalopram hydrobromide,N06AB
melatonin,N06AB
fosfomycin tromethamine,J01XX
tacrolimus,D11AH
tacrolimus suspension,D11AH
xenaderm,D11AH
nitroglycerin,D11AH
sw,D11AH
d5w,D11AH
tacrolimus (self med),D11AH
prograf,D11AH
tacro,D11AH
tacroli,D11AH
tacrolimus,L04AD
tacrolimus suspension,L04AD
xenaderm,L04AD
nitroglycerin,L04AD
sw,L04AD
tacrolimus (self med),L04AD
prograf,L04AD
tacro,L04AD
tacroli,L04AD
interferon alfa 2a (infergen),D11AH
vigamox,D11AH
*nf* tacrolimus suspension,D11AH
benefiber,D11AH
iso-osmotic dextrose,D11AH
vancomycin hcl,D11AH
tacrolimus study med (*ind*),D11AH
insulin pump (self administering medication),D11AH
interferon alfa 2a (infergen),L04AD
vigamox,L04AD
*nf* tacrolimus suspension,L04AD
benefiber,L04AD
tacrolimus study med (*ind*),L04AD
insulin pump (self administering medication),L04AD
prograf suspension,D11AH
prograf suspension,L04AD
methylprednisolone na succ.,D11AH
ipratropium bromide,D11AH
tacrolimus (prograf brand) suspension,D11AH
tacr,D11AH
tacrolimus ,D11AH
ipratropium bromide,L04AD
tacrolimus (prograf brand) suspension,L04AD
tacr,L04AD
tacrolimus ,L04AD
adenosine,C01EB
micafungin,J02AX
*nf* micafungin,J02AX
protopic,D11AH
protopic,L04AD
*nf* tacrolimus 0.1% ointment,D11AH
*nf* tacrolimus 0.1% ointment,L04AD
tretinoin 0.025% cream,D10AD
tretinoin 0.025% cream,L01XX
betamethasone valerate 0.1% ointment,A07EA
betamethasone valerate 0.1% ointment,C05AA
betamethasone valerate 0.1% ointment,D07AC
betamethasone valerate 0.1% ointment,D07XC
betamethasone valerate 0.1% ointment,H02AB
betamethasone valerate 0.1% ointment,R01AD
betamethasone valerate 0.1% ointment,R03BA
betamethasone valerate 0.1% ointment,S01BA
betamethasone valerate 0.1% ointment,S01CB
betamethasone valerate 0.1% ointment,S02BA
betamethasone valerate 0.1% ointment,S03BA
clobetasol propionate,D07AD
miconazole nitrate vaginal,A01AB
miconazole nitrate (dual-pak),A01AB
miconazole nitrate vaginal,A07AC
miconazole nitrate (dual-pak),A07AC
miconazole nitrate vaginal,D01AC
miconazole nitrate (dual-pak),D01AC
miconazole nitrate vaginal,G01AF
miconazole nitrate (dual-pak),G01AF
miconazole nitrate vaginal,J02AB
miconazole nitrate (dual-pak),J02AB
miconazole nitrate vaginal,S02AA
miconazole nitrate (dual-pak),S02AA
albuterol 0.083% neb soln,R03AC
albuterol neb soln,R03AC
albuterol,R03AC
*nf* loteprednol 0.5% ophth,R03AC
prilosec,R03AC
albuterol sulfate,R03AC
interferon beta-1b,R03AC
metoprolol,R03AC
d5w,R03AC
heparin sodium,R03AC
vancomycin hcl,R03AC
iso-osmotic dextrose,R03AC
potassium chloride,R03AC
lipram-pn16,R03AC
hydromorphone,R03AC
albuterol 0.083% neb soln,R03CC
albuterol neb soln,R03CC
albuterol,R03CC
*nf* loteprednol 0.5% ophth,R03CC
prilosec,R03CC
albuterol sulfate,R03CC
interferon beta-1b,R03CC
metoprolol,R03CC
d5w,R03CC
heparin sodium,R03CC
vancomycin hcl,R03CC
iso-osmotic dextrose,R03CC
potassium chloride,R03CC
lipram-pn16,R03CC
hydromorphone,R03CC
ipratropium bromide neb,R01AX
ipratropium bromide,R01AX
uroqid-acid no.2,R01AX
d5w,R01AX
cisatracurium besylate,R01AX
famotidine,R01AX
phytonadione,R01AX
ns,R01AX
metronidazole,R01AX
beclomethasone dipropionate,R01AX
ipratropium brom,R01AX
foradil aerolizer,R01AX
janumet,R01AX
symbicort,R01AX
baclofen,R01AX
enablex,R01AX
propofol,R01AX
zirgan,R01AX
ipratropium,R01AX
ipratropium bromide neb,R03BB
ipratropium bromide,R03BB
uroqid-acid no.2,R03BB
d5w,R03BB
cisatracurium besylate,R03BB
famotidine,R03BB
phytonadione,R03BB
ns,R03BB
metronidazole,R03BB
beclomethasone dipropionate,R03BB
ipratropium brom,R03BB
foradil aerolizer,R03BB
janumet,R03BB
symbicort,R03BB
baclofen,R03BB
enablex,R03BB
propofol,R03BB
zirgan,R03BB
ipratropium,R03BB
ipratropium ,R01AX
ipratropium bromide mdi,R01AX
ipratropium ,R03BB
ipratropium bromide mdi,R03BB
pramoxine,C05AD
pramoxine-menthol-petrolatum,C05AD
pramoxine,D04AB
pramoxine-menthol-petrolatum,D04AB
cyanocobalamin,B03BA
torsemide,C03CA
torsemide ,C03CA
hydralazine hcl,C02DB
hydralazine,C02DB
neo*iv*hydralazine,C02DB
dextrose 50%,C02DB
sw,C02DB
d5w,C02DB
phenylephrine,C02DB
erythromycin topical solution,C02DB
soln.,C02DB
mannitol 20%,C02DB
enalaprilat,C02DB
nitroprusside sodium,C02DB
neo*po*hydralazine,C02DB
erythromycin ethylsuccinate,C02DB
methylprednisolone na succ.,C02DB
syringe (iv room),C02DB
potassium chloride,C02DB
acetaminophen,C02DB
atropine sulfate,A03BA
nitroglycerin,A03BA
d5w,A03BA
atropine sulfate,S01FA
nitroglycerin,S01FA
dopamine hcl,C01CA
*nf* iron sucrose,B03AB
caffeine-sodium benzoate,N06BC
caffeine-sodium benzoate,A16AX
hydroxyzine,N05BB
acetylcysteine,R05CB
acetylcysteine,S01XA
acetylcysteine,V03AB
acetylcysteine (iv),R05CB
acetylcysteine ,R05CB
propofol,R05CB
acetylcystei,R05CB
insulin pump (self administering medication),R05CB
somatropin,R05CB
zirgan(ganciclovir),R05CB
xopenex,R05CB
acetylcysteine (iv),S01XA
acetylcysteine ,S01XA
propofol,S01XA
acetylcystei,S01XA
somatropin,S01XA
zirgan(ganciclovir),S01XA
xopenex,S01XA
acetylcysteine (iv),V03AB
acetylcysteine ,V03AB
propofol,V03AB
acetylcystei,V03AB
insulin pump (self administering medication),V03AB
somatropin,V03AB
zirgan(ganciclovir),V03AB
xopenex,V03AB
ethanol 70% catheter dwell,D08AX
alcohol dehydrated,D08AX
ethanol 70% catheter dwell (tunneled access line),D08AX
ethanol 70% catheter lock,D08AX
ethanol 70% catheter dwell,V03AB
alcohol dehydrated,V03AB
ethanol 70% catheter dwell (tunneled access line),V03AB
ethanol 70% catheter lock,V03AB
ethanol 70% catheter dwell,V03AZ
alcohol dehydrated,V03AZ
ethanol 70% catheter dwell (tunneled access line),V03AZ
ethanol 70% catheter lock,V03AZ
aspirin-caffeine-butalbital,A01AD
butalbital-aspirin-caffeine,A01AD
butalbital-acetaminophen-caff,A01AD
aspirin-caffeine-butalbital,B01AC
butalbital-aspirin-caffeine,B01AC
butalbital-acetaminophen-caff,B01AC
aspirin-caffeine-butalbital,N02BA
butalbital-aspirin-caffeine,N02BA
butalbital-acetaminophen-caff,N02BA
aspirin-caffeine-butalbital,N06BC
butalbital-aspirin-caffeine,N06BC
cocaine 4% soln,N01BC
cocaine 4% soln,R02AD
cocaine 4% soln,S01HA
cocaine 4% soln,S02DA
hemorrhoidal suppository,C01CA
hemorrhoidal suppository,R01AA
hemorrhoidal suppository,R01AB
hemorrhoidal suppository,R01BA
hemorrhoidal suppository,S01FB
hemorrhoidal suppository,S01GA
pseudoephedrine hcl,R01BA
capsaicin 0.025%,M02AB
capsaicin 0.025%,N01BX
bisacodyl,A06AB
propofol,A06AB
potassium chloride,A06AB
lidocaine 1% p.f.,A06AB
avodart,A06AB
phenylephrine,A06AB
symbicort,A06AB
norepinephrine,A06AB
bisacodyl,A06AG
propofol,A06AG
potassium chloride,A06AG
lidocaine 1% p.f.,A06AG
avodart,A06AG
phenylephrine,A06AG
symbicort,A06AG
norepinephrine,A06AG
hydroxypropyl methylcellulose,S01KA
hyaluronidase,B06AA
tretinoin (atra-all transretinoic acid),D10AD
ve,D10AD
tretinoin suspension,D10AD
tretinoin ,D10AD
tretinoin (atra-all transretinoic acid),L01XX
ve,L01XX
tretinoin suspension,L01XX
tretinoin ,L01XX
dextroamphetamine,N06BA
adderall,N06BA
florinef,H02AA
charcoal aqueous (activated),A07BA
charcoal,A07BA
char,A07BA
charcoal-sorbitol,A07BA
charc,A07BA
activated charcoal-sorbitol,A07BA
activated,A07BA
charco,A07BA
hydrocortisone enema,A01AC
hydrocortisone enema,A07EA
hydrocortisone enema,C05AA
hydrocortisone enema,D07AA
hydrocortisone enema,D07XA
hydrocortisone enema,H02AB
hydrocortisone enema,S01BA
hydrocortisone enema,S01CB
hydrocortisone enema,S02BA
aspirin,A01AD
sodium bicarbonate,A01AD
ceftriaxone,A01AD
vancomycin hcl,A01AD
ns,A01AD
pantoprazole sodium,A01AD
metronidazole,A01AD
epoetin alfa,A01AD
aspirin ec,A01AD
aspirin (rectal),A01AD
sodium chloride (hypertonic),A01AD
asp,A01AD
aspirin,B01AC
sodium bicarbonate,B01AC
ceftriaxone,B01AC
vancomycin hcl,B01AC
ns,B01AC
pantoprazole sodium,B01AC
metronidazole,B01AC
epoetin alfa,B01AC
aspirin ec,B01AC
aspirin (rectal),B01AC
sodium chloride (hypertonic),B01AC
asp,B01AC
aspirin,N02BA
sodium bicarbonate,N02BA
ceftriaxone,N02BA
vancomycin hcl,N02BA
ns,N02BA
pantoprazole sodium,N02BA
metronidazole,N02BA
epoetin alfa,N02BA
aspirin ec,N02BA
aspirin (rectal),N02BA
sodium chloride (hypertonic),N02BA
asp,N02BA
belladonna & opium,A07DA
belladonna-opium,A07DA
belladonna & opium (16.2/30mg),A07DA
belladonna alkaloids-opium,A07DA
belladonna & opium,N02AA
belladonna-opium,N02AA
belladonna & opium (16.2/30mg),N02AA
belladonna alkaloids-opium,N02AA
ranolazine,A06AB
bisacodyl (rectal),A06AB
januvia,A06AB
xibrom,A06AB
travatan,A06AB
alphagan p,A06AB
prednisolone acetate,A06AB
imatinib,A06AB
dopamine,A06AB
furosemide,A06AB
acetaminophen (liquid),A06AB
lotemax,A06AB
bisaco,A06AB
biscolax,A06AB
uroxatral,A06AB
enablex,A06AB
atropine sulfate,A06AB
aspirin,A06AB
multaq,A06AB
vemurafenib (ro5185426),A06AB
metoprolol tartrate,A06AB
lidocaine 2%,A06AB
lorazepam,A06AB
ranolazine,A06AG
bisacodyl (rectal),A06AG
januvia,A06AG
xibrom,A06AG
travatan,A06AG
alphagan p,A06AG
prednisolone acetate,A06AG
imatinib,A06AG
dopamine,A06AG
furosemide,A06AG
acetaminophen (liquid),A06AG
lotemax,A06AG
bisaco,A06AG
biscolax,A06AG
uroxatral,A06AG
enablex,A06AG
atropine sulfate,A06AG
aspirin,A06AG
multaq,A06AG
vemurafenib (ro5185426),A06AG
metoprolol tartrate,A06AG
lidocaine 2%,A06AG
lorazepam,A06AG
hydromorphone (rectal),N02AA
*nf* diazoxide suspension,C02DA
pantoprazole sodium,C02DA
ns,C02DA
*nf* diazoxide suspension,V03AH
pantoprazole sodium,V03AH
ns,V03AH
lisinopril,C09AA
sulfasalazine_,A07EC
glipizide xl,A10BB
ursodiol,A05AA
guaifenesin dm table,A05AA
nifedipine cr,C08CA
revatio (sildenafil citrate),C08CA
trimethoprim,J01EA
minoxidil,C02DC
minoxidil,D11AX
sulindac,M01AB
amoxapine,N06AA
tipranavir,J05AE
aptivus,J05AE
mobic,M01AC
meloxicam,M01AC
clonidine tts 2 patch,C02AC
clonidine,C02AC
clonidine patch,C02AC
clonidine tts 2 patch,N02CX
clonidine,N02CX
clonidine patch,N02CX
clonidine tts 2 patch,S01EA
clonidine,S01EA
clonidine patch,S01EA
clonidine tts 3 patch,C02AC
clonidine tts 1 patch,C02AC
clonidine ,C02AC
clonidine tts,C02AC
clonidine tts 3 patch,N02CX
clonidine tts 1 patch,N02CX
clonidine ,N02CX
clonidine tts,N02CX
clonidine tts 3 patch,S01EA
clonidine tts 1 patch,S01EA
clonidine ,S01EA
clonidine tts,S01EA
nevirapine,J05AG
nevirapine suspension,J05AG
dabigatran etexilate,B01AE
pradaxa,B01AE
mirapex,N04BC
pramipexole,N04BC
*nf* pramipexole,N04BC
stalevo 100,N04BC
mirapex er,N04BC
sanctura xr,N04BC
lactulose enema,A06AD
lactulose,A06AD
hydrochlorothiazide,C03AA
omnipred,C03AA
dexamethasone sod phosphate,A01AC
basis soap,A01AC
dexamethasone sod phosphate,C05AA
basis soap,C05AA
dexamethasone sod phosphate,D07AB
basis soap,D07AB
dexamethasone sod phosphate,D07XB
basis soap,D07XB
dexamethasone sod phosphate,D10AA
basis soap,D10AA
dexamethasone sod phosphate,H02AB
basis soap,H02AB
dexamethasone sod phosphate,R01AD
basis soap,R01AD
dexamethasone sod phosphate,S01BA
basis soap,S01BA
dexamethasone sod phosphate,S01CB
basis soap,S01CB
dexamethasone sod phosphate,S02BA
basis soap,S02BA
dexamethasone sod phosphate,S03BA
basis soap,S03BA
potassium chloride,D04AA
humulin-r insulin,D04AA
iso-osmotic dextrose,D04AA
vancomycin hcl,D04AA
enema disposable,D04AA
bupivacaine 0.50%,D04AA
ns epidural bag ,D04AA
hydromorphone p.f.,D04AA
lidocaine 1%,D04AA
hydromorphone (dilaudid),D04AA
combigan,D04AA
lotemax,D04AA
potassium chloride,R06AA
humulin-r insulin,R06AA
iso-osmotic dextrose,R06AA
vancomycin hcl,R06AA
enema disposable,R06AA
bupivacaine 0.50%,R06AA
ns epidural bag ,R06AA
hydromorphone p.f.,R06AA
lidocaine 1%,R06AA
hydromorphone (dilaudid),R06AA
combigan,R06AA
lotemax,R06AA
phenobarbital sodium,N03AA
neo*iv*phenobarbital,N03AA
neo*po*phenobarbital,N03AA
prochlorperazine,N05AB
emend,N05AB
junel fe 1/20 (28),N05AB
promethazine hcl,D04AA
promethazine,D04AA
ethanol (ethyl alcohol),D04AA
promethazine hcl,R06AD
promethazine,R06AD
ethanol (ethyl alcohol),R06AD
chlorpromazine,N05AA
chlorpromazine hcl,N05AA
digoxin,C01AA
neo*iv*digoxin,C01AA
norepinephrine bitartrate,C01CA
phenylephrine,C01CA
fentanyl citrate,C01CA
propofol,C01CA
calcium chloride,C01CA
fluorouracil,L01BC
bleomycin,L01DC
carboplatin,L01XA
vincristine (oncovin),L01CA
vincristine,L01CA
irinotecan,L01XX
metoclopramide,A03FA
dutasteride (avodart),A03FA
aripiprazole,A03FA
mitoxantrone,L01DB
etoposide,L01CB
haloperidol decanoate,N05AD
amikacin,D06AX
amikacin inhalation,D06AX
amikacin,J01GB
amikacin inhalation,J01GB
amikacin,S01AA
amikacin inhalation,S01AA
tobramycin sulfate,J01GB
tobramycin sulfate,S01AA
sulfameth/trimethoprim,J01EC
sulfamethoxazole-trimethoprim,J01EC
sulfameth/trimethoprim,J01EA
sulfamethoxazole-trimethoprim,J01EA
sulfameth/trimethoprim,J01EE
sulfamethoxazole-trimethoprim,J01EE
istalol,N05AB
ns,N02BE
imipenem-cilastatin,N02BE
d5w,N02BE
iso-osmotic sodium chloride,N02BE
potassium chloride,N02BE
neo*iv*ampicillin sodium,N02BE
neo*iv*gentamicin,N02BE
send 500mg vial,N02BE
syringe (neonatal) *d5w*,N02BE
dilaudid,N02BE
acetaminop,N02BE
metoprolol tartrate,N02BE
exemestane,N02BE
protamine sulfate,N02BE
atropine sulfate,N02BE
vasopressin,N02BE
ergotamine-caffeine,N06BC
ergotamine-caffeine,N02CA
fluoxetine hcl,N06AB
fluoxetine,N06AB
trifluoperazine hcl,N05AB
perphenazine,N05AB
methazolamide,S01EC
isosorbide dinitrate,C01DA
metronidazole,C01DA
estazolam,C01DA
isordil,C01DA
isosorbide,C01DA
isosorbide dinitrate,C05AE
metronidazole,C05AE
estazolam,C05AE
isordil,C05AE
isosorbide,C05AE
imipramine,N06AA
diclofenac sodium dr,D11AX
diclofenac sodium,D11AX
diclofenac sodium dr,M01AB
diclofenac sodium,M01AB
diclofenac sodium dr,M02AA
diclofenac sodium,M02AA
diclofenac sodium dr,S01BC
diclofenac sodium,S01BC
ranitidine,A02BA
ranitidine hcl,A02BA
desipramine,N06AA
preservision areds,N06AA
desipramine hcl,N06AA
clo,N06AA
clomi,N06AA
clomipramine,N06AA
clomipramine hcl,N06AA
sodium bicarbonate,D11AH
januvia,D11AH
pilocarpine 1%,D11AH
sodium bicarbonate,L04AD
januvia,L04AD
pilocarpine 1%,L04AD
nafcillin desensitization,J01CF
nafcillin,J01CF
nicardipine iv,C08CA
ampicillin sodium,J01CA
ampicillin sodium,S01AA
neo*iv*cefazolin,J01DB
cefazolin desensitization,J01DB
botulinum toxin type a,J01DB
ondansetron odt,A04AA
insulin pump (self administering medication),A04AA
losartan potassium,C09CA
metronidazole gel 0.75%-vaginal,A01AB
metronidazole gel 0.75%-vaginal,D06BX
metronidazole gel 0.75%-vaginal,G01AF
metronidazole gel 0.75%-vaginal,J01XD
metronidazole gel 0.75%-vaginal,P01AB
benztropine mesylate,N04AC
pimozide,N04AC
"preservision( vit a,c,e-zinc-copper)",N02BE
levemir,A06AA
isradipine,A06AA
xopenex hfa,A06AA
darifenacin,A06AA
zemplar,A06AA
nepafenac,A06AA
vigamox,A06AA
durezol 0.05% drops,A06AA
pimecrolimus,A06AA
heparin sodium,A06AA
gleevec,A06AA
metoprolol tartrate,A06AA
estroven maximum strength,A06AA
dasatanib (sprycel) **chemo**,A06AA
lunesta,A06AA
bumetanide,A06AA
zantac maximum strength,A06AA
morphine sulfate,A06AA
niacin flush free,A06AA
cortef,A06AA
sutent,A06AA
hydromorphone (dilaudid),A06AA
florastor,A06AA
sulfameth/trimethoprim ds,J01EC
d5w,J01EC
bactrim,J01EC
sprycel,J01EC
bactr,J01EC
furosemide,J01EC
sulfameth/trimet,J01EC
bact,J01EC
sulfamet,J01EC
sulfameth/trimethoprim suspension,J01EC
sulfameth/trimethoprim ,J01EC
sulfa,J01EC
sulfameth/trimethoprim ss,J01EC
sulfameth/trimethoprim ds,J01EA
d5w,J01EA
bactrim,J01EA
sprycel,J01EA
bactr,J01EA
furosemide,J01EA
sulfameth/trimet,J01EA
bact,J01EA
sulfamet,J01EA
sulfameth/trimethoprim suspension,J01EA
sulfameth/trimethoprim ,J01EA
sulfa,J01EA
sulfameth/trimethoprim ss,J01EA
sulfameth/trimethoprim ds,J01EE
d5w,J01EE
bactrim,J01EE
sprycel,J01EE
bactr,J01EE
furosemide,J01EE
sulfameth/trimet,J01EE
bact,J01EE
sulfamet,J01EE
sulfameth/trimethoprim suspension,J01EE
sulfameth/trimethoprim ,J01EE
sulfa,J01EE
sulfameth/trimethoprim ss,J01EE
oxybutynin,G04BD
baclofen,M03BX
aspiri,A01AD
aspirin desensitization (angioedema),A01AD
asa,A01AD
aspir,A01AD
vesicare,A01AD
aspi,A01AD
aspirin ,A01AD
aspirin childrens,A01AD
as,A01AD
avalide,A01AD
aspirin 81 mg /placebo,A01AD
aspirin 325 mg or placebo,A01AD
asa81,A01AD
aciphex,A01AD
propofol,A01AD
budesonide,A01AD
aspirin 81 mg/ placebo,A01AD
aspirin 325mg/ placebo,A01AD
aspirin desensitization (aerd),A01AD
mirapex er(pramipexole),A01AD
aspirin 81 mg or placebo,A01AD
aspirin 81mg or placbo,A01AD
aspirin 81 mg  or placebo,A01AD
systane ultra,A01AD
elidel,A01AD
humalog mix 75-25 kwikpen,A01AD
humalog kwikpen,A01AD
aspirin desensitization,A01AD
aspirin desens,A01AD
azilect,A01AD
aspirin 325mg or placebo,A01AD
aspirin 81 mg or placebo ,A01AD
aspiri,B01AC
aspirin desensitization (angioedema),B01AC
asa,B01AC
aspir,B01AC
vesicare,B01AC
aspi,B01AC
aspirin ,B01AC
aspirin childrens,B01AC
as,B01AC
avalide,B01AC
aspirin 81 mg /placebo,B01AC
aspirin 325 mg or placebo,B01AC
asa81,B01AC
aciphex,B01AC
propofol,B01AC
budesonide,B01AC
aspirin 81 mg/ placebo,B01AC
aspirin 325mg/ placebo,B01AC
aspirin desensitization (aerd),B01AC
mirapex er(pramipexole),B01AC
aspirin 81 mg or placebo,B01AC
aspirin 81mg or placbo,B01AC
aspirin 81 mg  or placebo,B01AC
systane ultra,B01AC
elidel,B01AC
humalog mix 75-25 kwikpen,B01AC
humalog kwikpen,B01AC
aspirin desensitization,B01AC
aspirin desens,B01AC
azilect,B01AC
aspirin 325mg or placebo,B01AC
aspirin 81 mg or placebo ,B01AC
aspiri,N02BA
aspirin desensitization (angioedema),N02BA
asa,N02BA
aspir,N02BA
